1,0.296875,0.875,0.875,0.875,0.875,0.857143,0.359375,1,0.53125,0.5,0.5,0.482143,0.375,1,0.125,0,0,0,0.375,1,0.125,0,0,0,0.375,1,0.8125,0.859375,0.609375,0.0892857,0.265625,0.96875,0.734375,0.46875,0.90625,0.892857,0,0.046875,0,0,0.328125,1,0,0,0,0,0.203125,1,0.296875,0.53125,0,0,0.234375,1,0.4375,0.96875,0.171875,0,0.59375,1,0.046875,0.84375,0.984375,0.90625,1,0.5,0,0.03125,0.625,0.75,0.375,0
2,0,0.328125,0.59375,0.59375,0.265625,0,0.421875,1,0.734375,0.703125,1,0.392857,0.828125,0.8125,0,0,0.6875,0.928571,0.875,0.625,0,0,0.625,1,0.921875,0.640625,0,0,0.625,1,0.96875,0.625,0,0,0.625,1,1,0.625,0,0,0.734375,1,1,0.625,0,0,0.703125,1,1,0.625,0,0,0.75,1,0.859375,0.78125,0.03125,0.109375,0.953125,0.821429,0.3125,0.984375,0.890625,0.953125,0.984375,0.303571,0,0.34375,0.90625,0.90625,0.375,0
3,0.59375,0.40625,0.53125,0.546875,0.125,0,0.359375,1,0.84375,0.84375,0.953125,0.232143,0.859375,0.796875,0,0.015625,0.796875,0.785714,0.890625,0.625,0,0,0.6875,0.946429,1,0.609375,0,0,0.75,1,1,0.546875,0,0,0.75,0.964286,1,0.53125,0,0,0.75,0.857143,1,0.5,0,0,0.8125,0.857143,1,0.5,0,0,0.8125,0.857143,0.9375,0.65625,0,0.109375,0.96875,0.732143,0.40625,1,0.78125,0.921875,0.984375,0.214286,0,0.59375,1,0.96875,0.34375,0
4,0,0.078125,0.421875,0.59375,0.3125,0,0.0625,0.875,0.84375,0.65625,0.953125,0.571429,0.421875,0.90625,0.046875,0,0.34375,1,0.5,0.8125,0,0,0.125,1,0.5,0.875,0,0,0.125,1,0.46875,0.875,0,0,0.125,1,0.4375,0.875,0,0,0.125,1,0.375,0.875,0,0,0.125,1,0.375,0.875,0,0,0.125,1,0.15625,0.984375,0.359375,0.140625,0.625,0.946429,0,0.3125,0.890625,1,0.671875,0.178571,0,0,0,0,0.0625,0
5,0,0.09375,0.46875,0.546875,0.203125,0,0.140625,0.921875,0.8125,0.71875,0.984375,0.339286,0.5625,0.765625,0.015625,0,0.546875,0.910714,0.625,0.625,0,0,0.375,1,0.625,0.625,0,0,0.375,1,0.625,0.625,0,0,0.375,1,0.625,0.625,0,0,0.375,1,0.625,0.625,0,0,0.375,1,0.625,0.625,0,0,0.375,1,0.4375,0.890625,0.140625,0.0625,0.75,0.821429,0.0625,0.65625,1,1,0.875,0.178571,0,0,0.34375,0.4375,0.03125,0
6,0.46875,0.75,0.75,0.75,0.78125,0.303571,0.625,0.828125,0.5,0.5,0.5,0.196429,0.6875,0.625,0,0,0,0,0.6875,0.625,0,0,0,0,0.65625,0.890625,0.84375,0.8125,0.359375,0,0.578125,0.90625,0.4375,0.546875,1,0.25,0,0.015625,0,0,0.734375,0.571429,0,0,0,0,0.625,0.678571,0.5625,0.28125,0,0,0.671875,0.571429,0.734375,0.78125,0.125,0.25,0.953125,0.339286,0.15625,0.875,1,1,0.546875,0,0,0.03125,0.40625,0.1875,0,0
7,0,0,0,0.234375,0.515625,0.0178571,0,0,0.140625,0.921875,0.609375,0,0,0.015625,0.78125,0.796875,0.015625,0,0,0.3125,0.984375,0.171875,0,0,0,0.75,0.640625,0,0,0,0.09375,1,0.78125,0.75,0.453125,0.0178571,0.328125,1,0.78125,0.578125,0.953125,0.660714,0.484375,0.890625,0.015625,0,0.390625,1,0.53125,0.75,0,0,0.25,1,0.421875,0.90625,0.046875,0,0.46875,1,0.078125,0.90625,0.859375,0.71875,1,0.553571,0,0.25,0.96875,1,0.6875,0
8,0,0.59375,0.625,0.203125,0.5,0.0178571,0,0,0.125,0.90625,0.671875,0.0178571,0,0,0.75,0.796875,0.046875,0,0,0.3125,0.984375,0.171875,0,0,0,0.75,0.625,0,0,0,0.109375,1,0.84375,0.734375,0.390625,0,0.359375,1,0.734375,0.578125,0.96875,0.553571,0.53125,0.84375,0.015625,0,0.46875,0.982143,0.625,0.65625,0,0,0.28125,1,0.484375,0.90625,0.0625,0,0.53125,0.964286,0.0625,0.84375,0.9375,0.859375,1,0.392857,0,0.125,0.84375,1,0.46875,0
9,0,0,0,0.65625,0.734375,0,0,0,0.453125,1,0.328125,0,0,0.15625,0.96875,0.515625,0,0,0,0.6875,0.859375,0.015625,0,0,0.078125,0.984375,0.390625,0.015625,0,0,0.34375,1,1,1,0.6875,0.0535714,0.5625,0.96875,0.390625,0.328125,0.921875,0.642857,0.6875,0.671875,0,0,0.46875,0.964286,0.71875,0.65625,0,0,0.421875,1,0.46875,0.953125,0.28125,0.1875,0.859375,0.75,0.046875,0.71875,1,1,0.859375,0.142857,0,0,0.34375,0.4375,0.03125,0
10,0,0,0,0.046875,0.140625,0,0,0,0.03125,0.765625,0.953125,0.125,0,0,0.625,0.984375,0.25,0,0,0.28125,1,0.453125,0,0,0,0.78125,0.8125,0.015625,0,0,0.140625,1,0.71875,0.453125,0.15625,0,0.40625,1,0.96875,0.90625,0.984375,0.482143,0.578125,0.953125,0.09375,0,0.578125,1,0.625,0.75,0,0,0.203125,1,0.53125,0.921875,0.03125,0,0.34375,1,0.140625,0.953125,0.765625,0.53125,0.9375,0.875,0,0.28125,1,1,0.96875,0.178571
